,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
1915,United Kingdom,Premium Room,1 night ,August 2020,Couple,,,8.0,Very Good
1916,United Kingdom,Standard Room,2 nights ,August 2020,Couple,,,10,Exceptional
1917,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1918,United Kingdom,Superior Room,1 night ,August 2020,Couple,,,10,Exceptional
1919,United Kingdom,Junior Suite,2 nights ,August 2020,Solo traveler,,,8.0,Very Good
1920,United Kingdom,Standard Room,2 nights ,August 2020,Solo traveler,,,8.0,Very Good
1921,United Kingdom,Standard Room,1 night ,August 2020,Solo traveler,,,8.0,Very Good
1922,United Kingdom,Premium Room,1 night ,August 2020,Couple,,,10,Exceptional
1923,United Kingdom,Standard Room,2 nights ,August 2020,Couple,,,9.0,Wonderful
1924,United Kingdom,Premium Room,1 night ,August 2020,Couple,,,10,Exceptional
1925,United Kingdom,Superior Room,2 nights ,August 2020,Couple,,,10,Exceptional
1926,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1927,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,8.0,Very Good
1928,United Kingdom,Standard Room,2 nights ,August 2020,Couple,,,10,Exceptional
1929,United Kingdom,Superior Room,1 night ,August 2020,Couple,,,10,Exceptional
1930,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1931,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,8.0,Very Good
1932,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1933,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,9.0,Wonderful
1934,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,9.0,Wonderful
1935,United Kingdom,Standard Room,1 night ,August 2020,Family,,,8.0,Very Good
1936,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1937,United Kingdom,Standard Room,2 nights ,August 2020,Couple,,,8.0,Very Good
1938,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,8.0,Very Good
