,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
3697,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Group,, Charging to park my car,8.8,Excellent
3698,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple," Very comfortable rooms, convenient for the airport.",,9.0,Wonderful
3699,United Kingdom,Standard Room,1 night ,October 2018,Solo traveler, The bed was very comfortable and  location for the airport excellent.,,8.3,A very relaxing start to my holiday.
3700,United Kingdom,Premium Room,1 night ,October 2018,Couple," Free upgrade offered to us upon arrival.
Very comfortable rooms
Very comfortable beds
Very friendly and pleasant staff", Our stay was too short!,10,Wonderful!
3701,United Kingdom,Standard Room,1 night ,October 2018,Couple," Arrived late at night and we were upgraded to an executive room. Clean, very comfortable, great views, quiet. Breakfast was great, good variety, staff were helpful. Have already booked for January 2019",,10,Ideal place to relax before or after a long flight.
3702,United States of America,Superior Room with Runway View,1 night ,October 2018,Couple," Beds, room in general and proximity to terminal 2", No parking in front for check in -  some staff seem to lack training,8.8,It is one of the best alternatives possible if you have to catch an early flight out of Terminal 2
3703,United Kingdom,Standard Room,1 night ,September 2018,Group, This hotel is ideally located,,9.6,Exceptional
3704,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Family, Proximity to the terminals, Ordered fish from menu and was then told they had none left...,10,Definitely return
3705,United Kingdom,Standard Room,1 night ,October 2018,Group," Bed,  pillows very comfortable and it was a noon  check out."," Slightly overpriced and although check out was noon.TV was turned off at 11 . 
Breakfast was £12 90 , bit pricey ,but I have to say it was excellent ,great choices and the staff were very attentive and friendly",9.6,"Very comfy ,"
3706,United Kingdom,Standard Room,1 night ,October 2018,Couple, Location and comfort, There was nothing I didn’t like about the hotel,9.6,Exceptional
3707,United Kingdom,Superior Room with Runway View,1 night ,October 2018,Couple,, Shower head,10,Exceptional
3708,Ireland,Standard Room,1 night ,October 2018,Group, The standard of cuisine is only moderate- small improvements in quality of products would make a difference: example bacon/ sausage is not good quality,,8.3,"Overall, the staff were excellent, helpful and professional. The gentleman at the front desk was ver"
3709,United Kingdom,Premium Room,1 night ,October 2018,Couple, Location, Breakfast was cold,7.5,Good
3710,United Kingdom,Superior Room with Runway View,1 night ,October 2018,Solo traveler, Helpful staff. Great location,,9.6,Excellent place to stay prior to a flight from Manchester
3711,United Kingdom,Standard Room,1 night ,September 2018,Group, Great location and staff very attentive. Breakfast excellent quality an variety.,,9.6,Exceptional
3712,United Kingdom,Standard Room,1 night ,October 2018,Couple, We were upgraded to a superior room. Couldn't fault it, Nothing,10,Wonderful stay before we started our holiday
3713,United Kingdom,Superior Room with Runway View,1 night ,October 2018,Couple, The closeness to terminal very convenient.good view in runway room, No slippers in room this time.but overall very good,9.6,Excellent
3714,United Kingdom,Standard Room,1 night ,October 2018,Solo traveler," Clean lay out, plenty of space, exceptional cleanliness, iron and hairdryer.", Nothing,10,Fab - u - lous !!
3715,United Kingdom,Standard Room,1 night ,September 2018,Couple, Excellent check in staff very helpful it was our anniversary gave us a free drink from bar .Ate in restaurant very nice food did not have breakfast as we had a early flight would definitely stay again,,10,Excellent no problems
3716,United Kingdom,Superior Room with Runway View,1 night ,October 2018,Couple, Location to T2," The fact that I didn't dislike Anything,
Fich and Cups in the restaurant A1",9.6,Exceptional
3717,United Kingdom,Standard Room,1 night ,September 2018,Couple, Good hotel with pool walking distance to airport, Nothing,9.2,Wonderful
3718,United Kingdom,Suite with Runway View,2 nights ,October 2018,Solo traveler,"  Convenient location, good parking, nice welcome upon arrival and just generally a very good hotel.", Would like to see more cameras in the parking areas. They are reasonably well lit though and many of the rooms/public areas do overlook the car park.,10,Exceptional
3719,United Kingdom,Standard Room,1 night ,October 2018,Couple, Closeness to airport,,8.8,Excellent
3720,France,Standard Room,1 night ,October 2018,Solo traveler, Possibility to walk to airport for very early morning flight. Wonderfully comfortable and calm. Excellent breakfast at 5.30 a.m.,,10,Far too brief but very relaxing all the same!
